N,TIME
0,1.000000000001e-06
5,2.1000000000000185e-05
50,0.00021900000000000044
100,0.0004940000000000014
200,0.0009739999999999992
400,0.0020900000000000016
600,0.0033350000000000046
800,0.004572
1000,0.005975000000000001
