N,TIME
0,9.999999999975306e-07
5,3.9999999999970615e-06
50,8.100000000000121e-05
100,0.0003119999999999998
200,0.0014879999999999997
400,0.006033999999999998
600,0.014179999999999998
800,0.026612999999999998
1000,0.041044
